id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365
2015	Berlin-Mitte Value! Quiet courtyard/very central	2217	Ian	Mitte	Brunnenstr. Süd	5.253.453.732.241.740	13.402.556.926.822.300	Entire home/apt	60	4	118	2018-10-28	3.76	4	141
2695	Prenzlauer Berg close to Mauerpark	2986	Michael	Pankow	Prenzlauer Berg Nordwest	5.254.851.279.221.660	13.404.552.826.587.400	Private room	17	2	6	2018-10-01	1.42	1	0
3176	Fabulous Flat in great Location	3718	Britta	Pankow	Prenzlauer Berg Südwest	52.534.996.191.586.700	13.417.578.665.333.200	Entire home/apt	90	62	143	2017-03-20	1.25	1	220
3309	BerlinSpot Schöneberg near KaDeWe	4108	Jana	Tempelhof - Schöneberg	Schöneberg-Nord	52.498.854.933.130.000	1.334.906.453.348.710	Private room	26	5	25	2018-08-16	0.39	1	297
7071	BrightRoom with sunny greenview!	17391	Bright	Pankow	Helmholtzplatz	525.431.572.633.131	13.415.091.104.515.700	Private room	42	2	197	2018-11-04	1.75	1	26
9991	Geourgeous flat - outstanding views	33852	Philipp	Pankow	Prenzlauer Berg Südwest	52.533.030.768.026.800	13.416.046.823.956.400	Entire home/apt	180	6	6	2018-07-23	0.15	1	137
14325	Apartment in Prenzlauer Berg	55531	Chris + Oliver	Pankow	Prenzlauer Berg Nordwest	52.547.846.407.992.100	13.405.562.243.722.400	Entire home/apt	70	90	23	2018-11-01	0.23	3	129
16644	In the Heart of Berlin - Kreuzberg	64696	Rene	Friedrichshain-Kreuzberg	nördliche Luisenstadt	5.250.479.227.385.910	13.435.101.853.886.000	Entire home/apt	90	60	48	2017-12-14	0.47	2	159
17409	Downtown Above The Roofs In Berlin	67590	Wolfram	Pankow	Prenzlauer Berg Südwest	5.252.907.092.467.370	13.412.843.393.984.900	Private room	45	3	279	2018-10-31	2.83	1	42
17904	Beautiful Kreuzberg studio/WiFi (reg. pend.)	68997	Matthias	Neukölln	Reuterstraße	52.495.476.326.623.800	13.421.821.277.536.600	Entire home/apt	49	5	223	2018-10-30	2.10	1	232
20858	Designer Loft in Berlin Mitte	71331	Marc	Pankow	Prenzlauer Berg Südwest	5.253.695.243.192.390	13.407.615.032.621.500	Entire home/apt	129	3	56	2018-10-20	0.75	1	166
21869	Studio in the Heart of Kreuzberg	64696	Rene	Friedrichshain-Kreuzberg	nördliche Luisenstadt	5.250.273.333.406.940	13.434.619.857.852.700	Entire home/apt	70	60	60	2016-06-05	0.61	2	129
22415	Stylishly furnished 3 room flat	86068	Kiki	Friedrichshain-Kreuzberg	südliche Luisenstadt	52.494.850.619.865.900	13.428.500.598.140.300	Entire home/apt	98	3	61	2018-10-01	0.59	2	257
22677	Prenzel garden with leafy terrace	87357	Ramfis	Mitte	Brunnenstr. Süd	5.253.434.836.322.020	13.405.576.517.191.400	Entire home/apt	160	3	223	2018-11-05	2.27	1	228
23834	Apartment in the heart of Berlin	94918	Tanja	Friedrichshain-Kreuzberg	Tempelhofer Vorstadt	52.489.714.426.323.600	13.379.747.575.408.900	Entire home/apt	65	60	96	2018-06-30	0.94	1	275
24569	Sunny & Wheelchair accessible	99662	Dominik	Pankow	Prenzlauer Berg Südwest	5.253.079.085.230.830	1.341.808.443.901.990	Entire home/apt	90	3	18	2018-08-25	0.18	2	3
25653	Sunny & stylish 150 sqm apartment	99662	Dominik	Pankow	Prenzlauer Berg Süd	52.530.258.736.282.400	13.419.466.962.263.800	Entire home/apt	90	4	5	2016-08-14	0.05	2	15
26543	Helmholtzplatz Bright&Spacious Apt.	112675	Terri	Pankow	Helmholtzplatz	5.254.406.239.119.680	13.421.376.521.988.200	Entire home/apt	197	3	163	2018-11-05	1.63	1	336
28156	Beautiful apartment in Prenzlauer Berg	55531	Chris + Oliver	Pankow	Prenzlauer Berg Nordwest	5.254.671.936.814.940	13.405.117.021.304.400	Entire home/apt	70	90	28	2017-04-29	0.29	3	191
28268	Cozy Berlin Friedrichshain for1/6 p	121580	Elena	Friedrichshain-Kreuzberg	Frankfurter Allee Süd FK	5.251.338.523.184.100	13.469.947.507.779.600	Entire home/apt	90	5	30	2017-08-02	0.33	1	55
28711	Silent Studio-apt in Kreuzkölln	84157	Emanuela	Neukölln	Reuterstraße	5.248.610.614.913.470	1.343.481.698.170.680	Entire home/apt	60	2	1	2013-08-13	0.02	10	341
29279	Quiet 2 rooms next Helmholtzplatz	54283	Marine	Pankow	Helmholtzplatz	5.254.178.764.990.120	1.342.388.315.889.970	Entire home/apt	130	60	69	2018-07-31	0.70	3	221
30295	PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG	485838	Michele	Pankow	Helmholtzplatz	5.254.596.726.018.980	13.422.358.872.353.600	Entire home/apt	100	4	240	2018-10-31	2.42	4	296
31440	Nice Room in Prenzlauerberg,	135046	Thomas	Pankow	Helmholtzplatz	525.430.892.935.274	1.342.245.309.399.170	Private room	44	1	28	2018-10-28	4.94	1	361
33043	Central Bright Bellevue Free Parking WIFI 4G	143180	Claudio&Irina	Mitte	Moabit Ost	52.521.417.975.814.800	13.357.082.298.389.000	Entire home/apt	62	3	144	2018-11-04	1.44	1	343
35642	Cozy 2 Room Apartment in trendy Prenzlauer Berg	153252	Thorsten	Pankow	Prenzlauer Berg Nord	5.254.936.125.502.960	13.418.227.669.657.000	Entire home/apt	55	60	1	2010-09-16	0.01	1	89
36480	ChimaysaberlinB&B Single Bedroom	156897	Helen	Charlottenburg-Wilm.	Otto-Suhr-Allee	52.519.676.583.782.300	13.302.088.764.141.600	Private room	40	1	33	2018-10-19	1.63	2	297
37004	WONDERFUL ROOM for longer stays Berlin Central	159734	Bernd	Tempelhof - Schöneberg	Schöneberg-Nord	5.249.338.924.131.890	13.364.813.135.044.600	Private room	25	5	21	2018-09-25	0.21	1	329
37052	QUIET n SUNNY FLAT in MITTE/PBERG	149093	Rob	Mitte	Brunnenstr. Süd	52.538.220.334.346.400	13.404.625.244.040.100	Entire home/apt	52	2	307	2018-10-04	03.04	2	25
37836	Weekend in Berlin Party Center - II	272316	Desiree	Friedrichshain-Kreuzberg	südliche Luisenstadt	5.249.847.237.312.900	13.440.131.897.810.100	Private room	39	1	161	2018-10-30	1.59	2	120
38074	3 months min stay in the heart of Prenzlauer Berg!	163384	Alan & Kasia	Pankow	Prenzlauer Berg Süd	5.253.680.114.276.390	1.342.546.637.252.860	Entire home/apt	80	84	102	2018-07-21	01.03	10	221
38296	nice apartment to rent in Neukölln in September!	164310	Oliver	Neukölln	Schillerpromenade	52.485.862.608.293.100	13.423.619.080.920.600	Entire home/apt	80	10	6	2012-07-27	0.06	1	310
40600	room-artist loft berlin kreuzberg	174970	Judith	Friedrichshain-Kreuzberg	Tempelhofer Vorstadt	5.248.844.228.331.080	13.420.599.819.323.200	Private room	50	3	50	2016-09-26	0.62	2	0
41217	Beautiful room in Prenzlauer Berg	179110	Bn	Pankow	Prenzlauer Berg Südwest	525.364.078.673.576	1.341.231.044.897.960	Private room	43	2	70	2017-10-08	0.70	1	0
41306	Schöner Altbau, 6 min zum Alexanderpatz.	179872	Sebastian	Pankow	Prenzlauer Berg Süd	52.530.280.175.668.800	13.423.478.477.243.000	Private room	40	1	1	2014-09-26	0.02	1	0
42742	Spacious 35m2 in Central Apartment	272316	Desiree	Friedrichshain-Kreuzberg	südliche Luisenstadt	524.966.675.178.124	13.440.339.722.231.800	Private room	36	1	25	2018-10-01	0.32	2	217
42809	The Berlin Artist Apartment.	186851	Tina	Friedrichshain-Kreuzberg	Frankfurter Allee Süd FK	5.251.175.980.499	13.455.361.679.724.200	Entire home/apt	119	4	109	2018-11-04	1.14	1	285
43123	Lux Berlin 1: boutique & design	188116	Lena	Pankow	Prenzlauer Berg Südwest	5.253.946.252.929.090	13.408.834.096.612.900	Entire home/apt	90	5	65	2018-10-31	0.66	2	186
44083	Riverside View Apartment	193038	Michaela	Treptow - Köpenick	Alt  Treptow	52.490.400.696.232.000	1.344.084.589.638.460	Private room	42	3	11	2018-10-01	0.12	1	65
44423	Lovely accommodation in Berlin	194957	Robert	Friedrichshain-Kreuzberg	Frankfurter Allee Süd FK	5.250.888.446.540.400	13.456.360.976.343.900	Private room	56	2	101	2018-10-09	01.02	1	32
46161	Design-Room in Mitte/PrenzlauerBerg	201936	Giorgio	Pankow	Prenzlauer Berg Südwest	5.253.254.194.634.920	13.409.825.660.460.800	Private room	50	4	151	2018-03-11	1.63	1	0
46172	Chic Loft By Kastanienallee	206338	Heike	Mitte	Brunnenstr. Süd	52.538.089.761.750.100	13.405.364.899.112.700	Entire home/apt	48	60	38	2018-08-29	0.48	2	264
47938	Lovely 2 BR flat in Prenzlauer Berg	218479	Laura	Pankow	Prenzlauer Berg Südwest	5.253.219.075.931.280	13.419.875.245.322.000	Entire home/apt	160	3	35	2018-09-29	0.35	1	32
52734	LUMINOUS, LOFT LIKE APT IN F'HAIN	112446	Boris	Friedrichshain-Kreuzberg	Frankfurter Allee Süd FK	52.511.208.807.057.900	13.457.278.071.959.900	Entire home/apt	88	5	5	2016-10-21	0.07	1	0
54952	Riverfront Panorama	258697	Trent	Mitte	Alexanderplatz	5.252.359.308.009.270	13.387.406.366.668.000	Private room	55	4	156	2018-10-14	1.60	1	33
55455	Panorama Apartment Berlin Centre	261953	Clara	Mitte	Alexanderplatz	52.521.145.362.296.000	1.340.608.326.685.900	Entire home/apt	90	2	1	2011-01-26	0.01	1	67
55853	Hauptstadt-Domizil	264072	Britta	Charlottenburg-Wilm.	Neue Kantstraße	5.250.340.301.169.880	13.292.025.527.066.200	Entire home/apt	55	60	11	2016-03-12	0.16	1	285
57049	130 sqm with a view on Mauer Park	54283	Marine	Pankow	Prenzlauer Berg Nordwest	52.547.867.835.067.600	1.340.416.737.243.230	Entire home/apt	200	3	81	2018-10-16	0.84	3	68
57209	Top apartment in Mitte-Arkonaplatz	272286	Vilius	Mitte	Brunnenstr. Süd	52.536.830.962.731.200	13.398.966.507.950.500	Entire home/apt	80	3	160	2018-11-03	1.68	1	264
57792	Bungalow mit Garten in Berlin Zehlendorf	275784	Jo	Steglitz - Zehlendorf	Ostpreußendamm	5.242.530.982.912.250	13.328.061.611.379.300	Entire home/apt	49	2	3	2017-02-12	0.03	1	0
58041	Apt. in a historic ambience+Wifi from 18.11.2018	145808	Veronika	Mitte	Alexanderplatz	52.527.709.101.108.100	1.339.090.247.014.700	Entire home/apt	55	90	72	2018-05-31	0.88	1	352
58780	light quiet beautiful 4 room flat	281614	Katja	Pankow	Prenzlauer Berg Süd	5.253.420.466.657.780	13.426.711.669.188.900	Entire home/apt	130	5	32	2018-11-04	0.37	2	211
59249	Lux Berlin 2: luxury & design	188116	Lena	Pankow	Prenzlauer Berg Südwest	5.254.088.868.001.600	13.409.448.814.157.300	Entire home/apt	90	5	76	2018-10-25	0.85	2	149
60161	House at the water	898681	Michael	Treptow - Köpenick	Schmöckwitz/Karolinenhof/Rauchfangswerder	523.782.796.904.114	13.652.751.149.230.700	Entire home/apt	120	2	7	2018-11-04	0.13	4	86
63052	Beautiful, quiet, clean & central.	307513	Shoshik	Neukölln	Neuköllner Mitte/Zentrum	5.246.892.121.357.070	13.434.541.014.208.600	Private room	37	6	96	2018-10-01	1.28	2	347
63468	Ferienwohnung Kreuzberg	309364	Kreuzberger	Friedrichshain-Kreuzberg	nördliche Luisenstadt	5.250.359.828.363.860	13.432.059.921.311.700	Entire home/apt	52	2	89	2018-10-21	1.16	3	323
64245	Room in great area Prenzlauer Berg	312373	Christian	Pankow	Prenzlauer Berg Nordwest	5.254.649.888.653.120	13.406.329.471.467.500	Private room	44	3	45	2018-06-11	0.50	2	123
64590	Great apt. directly on the canal!	315681	Mirjam	Friedrichshain-Kreuzberg	südliche Luisenstadt	52.494.970.325.600.600	13.423.991.494.661.800	Entire home/apt	102	2	34	2018-05-31	0.39	1	0
68142	Cute sunny room in Friedrichshain	337021	Dayna	Friedrichshain-Kreuzberg	Frankfurter Allee Nord	525.248.935.337.621	13.453.857.347.885.600	Private room	29	2	70	2018-10-28	0.91	1	58
68448	Spacious & quiet apt near Mauerpark	163384	Alan & Kasia	Pankow	Prenzlauer Berg Nord	52.549.798.103.307.200	13.415.959.608.867.700	Entire home/apt	84	3	220	2018-10-21	2.43	10	315
72079	Italian Design at Kudamm ,WiFi DSL free	261488	P. Charlotte	Charlottenburg-Wilm.	Kantstraße	5.250.780.325.949.870	13.318.707.261.044.200	Entire home/apt	80	3	37	2018-10-14	0.55	2	349
73302	Penthouse-Loft  Berlin-Schöneberg	382638	Hardy	Tempelhof - Schöneberg	Schöneberg-Nord	52.501.054.343.895.400	13.350.320.889.902.500	Entire home/apt	69	3	200	2018-10-29	2.14	1	178
74614	City apartment in Prenzlauer Berg	393047	Fatena	Pankow	Prenzlauer Berg Südwest	525.376.951.267.311	13.408.535.523.373.100	Entire home/apt	185	4	59	2018-10-14	0.76	1	359
80843	Berlin City Studio Apt.	437628	Oliver	Charlottenburg-Wilm.	Schmargendorf	5.248.086.412.777.900	1.328.998.185.775.030	Entire home/apt	49	2	69	2018-10-13	0.75	1	28
81049	Lux.2BR Apart.BerlinMitte Lic. 01/Z/ZA/ (Phone number hidden by Airbnb)	249501	Elfie And  Paul	Mitte	Regierungsviertel	5.252.183.917.807.320	13.390.672.160.465.300	Entire home/apt	155	4	39	2018-11-06	0.43	1	286
81081	Beautiful Prenzlauer Berg Apt	425899	Bernd+Katja :-)	Pankow	Prenzlauer Berg Nord	52.549.680.962.010.500	13.415.277.910.466.500	Entire home/apt	66	3	238	2018-10-28	2.59	1	69
82893	Apartment 2 Mitte	451311	Ruth	Mitte	Brunnenstr. Süd	52.531.999.624.503.000	13.382.847.513.861.400	Entire home/apt	70	3	71	2018-10-14	0.80	3	225
83183	Garden Apartment-Prenzlauer Berg	453109	Angela L.	Pankow	Prenzlauer Berg Süd	525.367.732.257.693	1.342.446.883.280.090	Entire home/apt	53	2	197	2018-10-29	2.23	2	249
83568	Beautiful stylish Prenzlauer Berg rooftop apt.	455670	Olaf	Pankow	Helmholtzplatz	5.254.484.866.792.690	13.418.909.904.797.200	Entire home/apt	70	3	2	2018-10-22	1.54	1	139
83614	Spacious & Elegant Flat, 2 bathrooms, full kitchen	456085	Louis	Pankow	Helmholtzplatz	5.254.621.993.958.730	13.417.857.494.605.300	Entire home/apt	92	1	265	2018-10-30	2.86	2	323
85560	Apartment 1 in Berlin	451311	Ruth	Mitte	Brunnenstr. Süd	5.253.181.501.425.350	13.382.298.973.709.000	Entire home/apt	75	3	47	2018-10-23	01.09	3	328
86514	Sunny room, Kreuzberg 	464827	Hayley	Friedrichshain-Kreuzberg	südliche Luisenstadt	5.249.820.825.407.490	13.441.778.788.008.300	Private room	80	2	44	2017-06-23	0.48	1	365
87549	Independent room in green Kreuzberg	81113	Carol	Friedrichshain-Kreuzberg	Tempelhofer Vorstadt	52.496.155.560.021.800	13.373.974.369.710.000	Private room	48	2	167	2018-11-04	1.82	1	336
89102	Bright loft in the Kastanienallee	485838	Michele	Pankow	Prenzlauer Berg Südwest	5.254.052.905.754.400	13.409.949.597.839.800	Entire home/apt	114	10	57	2018-11-01	0.63	4	109
91290	Gardenside flat for 2-3 guests	382397	Josep	Neukölln	Reuterstraße	5.249.003.805.503.340	13.426.190.641.200.500	Entire home/apt	60	2	44	2017-10-09	0.48	1	2
102882	STORAGE APARTMENT URBAN	86173	Sebastian	Friedrichshain-Kreuzberg	Tempelhofer Vorstadt	5.248.878.301.318.270	13.421.956.318.303.500	Entire home/apt	506	3	112	2017-04-16	1.24	2	0
106290	GREAT apartment in BERLIN-KREUZBERG	542540	Bart	Friedrichshain-Kreuzberg	südliche Luisenstadt	5.249.727.117.967.010	13.431.767.728.091.700	Entire home/apt	50	1	154	2018-10-08	1.69	1	315
106331	Beautiful flat in Prenzlauer Berg	551159	Lauri	Pankow	Prenzlauer Berg Süd	52.533.703.148.190.800	13.436.699.040.185.600	Entire home/apt	82	60	91	2018-10-20	1.00	2	319
107968	Gästeapartment Berlin- Schöneberg  	558933	Frank	Tempelhof - Schöneberg	Schöneberg-Nord	5.249.854.776.932.370	13.342.940.503.262.400	Entire home/apt	80	3	59	2018-10-03	0.66	1	363
109658	Spacious Studio Apartment in Berlin	565578	Miriam	Friedrichshain-Kreuzberg	Frankfurter Allee Nord	5.252.426.457.023.800	13.452.067.177.881.700	Entire home/apt	60	3	68	2018-10-20	0.77	1	236
111579	IN THE CENTER OF BERLIN.....	570951	S. Kjel	Mitte	Alexanderplatz	5.252.720.111.795.700	134.095.282.119.564	Entire home/apt	70	4	114	2016-06-05	1.33	2	194
114763	In the heart of Berlin!	582007	Julia	Tempelhof - Schöneberg	Schöneberg-Süd	5.248.805.003.364.800	13.353.250.379.710.600	Entire home/apt	130	3	53	2018-10-01	0.74	1	140
115576	Bed and Garden	584750	Axel	Pankow	Blankenfelde/Niederschönhausen	5.258.150.268.997.830	133.978.581.755.756	Entire home/apt	69	2	3	2018-06-23	0.05	1	344
116832	Clean & Spacious Kreuzberg Apt	590130	Oliver	Friedrichshain-Kreuzberg	Tempelhofer Vorstadt	5.249.094.420.157.700	13.396.194.429.695.100	Entire home/apt	75	14	3	2015-08-01	0.06	1	310
117649	F43 - your base for Berlin	594164	Ralph&Maria	Friedrichshain-Kreuzberg	südliche Luisenstadt	5.250.004.365.663.800	13.442.648.963.468.300	Entire home/apt	68	60	84	2017-08-15	0.93	1	266
121888	private, calm but very central	611847	Michel	Friedrichshain-Kreuzberg	Frankfurter Allee Nord	52.518.177.197.329.800	13.463.995.796.385.900	Entire home/apt	125	7	5	2016-07-17	0.06	1	0
125349	Cottage Berlin-Friedrichshagen	623521	Andre	Treptow - Köpenick	Friedrichshagen	5.245.105.230.030.460	13.635.283.164.937.000	Entire home/apt	70	2	26	2018-10-18	0.49	1	340
127708	Design Jewel in the midst of MITTE!	632174	Stéphanie	Mitte	Alexanderplatz	5.251.964.880.397.610	13.410.989.725.180.900	Entire home/apt	89	2	443	2018-10-23	5.20	5	295
128827	Gorgeous Home in the City's Heart	632971	Kai	Friedrichshain-Kreuzberg	Frankfurter Allee Süd FK	525.094.832.168.444	1.346.119.273.281.480	Entire home/apt	59	2	16	2018-07-09	0.37	1	302
135097	Nähe KaDeWe & Kurfürstendamm	662534	Bernd	Tempelhof - Schöneberg	Schöneberg-Nord	5.250.089.197.267.280	13.346.918.478.733.300	Entire home/apt	96	1	148	2018-10-21	1.67	1	202
138955	Guest Apartment near Viktoriapark	677988	Pigi	Friedrichshain-Kreuzberg	Tempelhofer Vorstadt	52.490.974.763.680.800	13.376.910.146.481.100	Entire home/apt	75	2	191	2016-05-29	2.13	1	0
139769	Mitte Auguststrasse Room Central&Charming	681637	Stefano	Mitte	Alexanderplatz	5.252.810.573.094.470	13.391.946.163.496.900	Private room	55	2	226	2018-11-03	2.54	1	322
143605	" Berlin Fuffa's 40m2  apartment "	696492	Gaston & Elena	Neukölln	Schillerpromenade	52.476.777.774.814.100	13.424.371.494.296.800	Entire home/apt	55	30	55	2018-05-07	0.63	1	312
145249	Private Wing of Penthouse - Terrace	703493	Evelyna	Friedrichshain-Kreuzberg	Frankfurter Allee Nord	5.251.819.219.317.530	13.461.220.877.937.700	Private room	70	3	107	2018-10-12	1.41	1	50
147946	1-room-flat in Prenzlauer Berg/WIFI	712973	Jan	Pankow	Prenzlauer Berg Nordwest	5.254.854.936.182.280	13.408.516.746.844.300	Entire home/apt	31	183	39	2017-02-12	0.45	1	324
149849	Cosy room in Mitte/Rosenthaler pl.	722460	George	Mitte	Alexanderplatz	52.529.817.192.179.100	1.340.259.803.750.830	Private room	40	2	47	2018-11-03	0.54	1	84
151249	Quiet, Terrasse, cats, baby equiped	728298	Julia	Friedrichshain-Kreuzberg	Südliche Friedrichstadt	5.249.677.893.596.020	13.416.794.504.313.100	Entire home/apt	81	1	10	2018-09-16	0.26	1	342
153015	Central Artist Appartement Prenzlauer Berg	735823	Marc	Pankow	Helmholtzplatz	5.254.714.552.904.220	13.418.253.805.829.600	Private room	52	3	127	2018-11-06	1.61	1	341
155048	Great 76 qm apartment, 2 balconies	745571	Uli	Pankow	Prenzlauer Berg Nord	5.254.250.548.510.000	13.437.193.263.101.400	Entire home/apt	100	180	4	2011-11-14	0.04	1	282
156010	TWO ROOM APARTMENT ALEXANDERPLATZ	750165	Angela	Mitte	Alexanderplatz	52.515.535.120.451.500	13.424.467.420.462.400	Entire home/apt	36	90	95	2017-08-29	01.06	1	1
157546	Facing the canal, Paul Lincke Ufer	311245	François	Friedrichshain-Kreuzberg	südliche Luisenstadt	5.249.544.917.093.300	13.424.493.405.497.900	Entire home/apt	88	5	45	2018-10-06	0.53	1	291
157839	room in typical berlin-style apt.	671536	Nicole	Mitte	Moabit West	5.253.082.537.497.300	13.342.213.964.835.400	Private room	29	1	252	2018-10-18	2.96	1	324
158890	Loft Appartment in Berlin Kreuzberg	762526	Stefan	Friedrichshain-Kreuzberg	südliche Luisenstadt	52.499.034.503.611.000	13.436.536.845.747.800	Entire home/apt	100	10	3	2016-06-09	0.08	1	325
159454	Bright, Charming and Modern Altbau	499725	Prasad	Charlottenburg-Wilm.	Wiesbadener Straße	5.247.831.221.692.290	13.311.401.944.589.900	Entire home/apt	161	2	43	2018-10-30	0.57	1	222
160517	Nice House in the Near from the Airport Tegel	768932	Sven	Reinickendorf	West 3	5.259.656.148.881.520	13.302.177.471.255.800	Entire home/apt	65	2	5	2018-11-01	2.11	1	214
161425	Cozy Apartment Gauystraße near Schönhauser Allee	772420	Niko	Pankow	Helmholtzplatz	5.254.566.761.341.070	13.414.469.175.064.400	Entire home/apt	70	2	103	2018-09-21	1.36	1	42
163287	Very nice apartment, Bergmann area	779623	Stefano	Friedrichshain-Kreuzberg	Tempelhofer Vorstadt	524.917.915.795.528	13.397.270.625.123.500	Entire home/apt	29	150	71	2016-04-30	0.80	2	359
163411	Ample parkside apartment Kreuzberg	779213	Jutta	Friedrichshain-Kreuzberg	südliche Luisenstadt	5.249.737.973.107.700	13.436.374.924.087.700	Entire home/apt	80	5	12	2018-08-18	0.14	1	253
167189	Colorful & Bright Spot BerlinKrzbrg	796727	Juan	Friedrichshain-Kreuzberg	nördliche Luisenstadt	52.501.885.442.770.100	13.438.014.425.329.000	Private room	49	3	374	2018-10-13	4.21	1	5
168615	STAYINTOWN - Apartment in Berlin	803717	Dirk	Pankow	Blankenburg/Heinersdorf/Märchenland	5.258.055.049.897.060	13.445.391.219.436.300	Entire home/apt	49	2	6	2018-10-16	0.08	1	159
169603	Luxury  & silent apartment near park and riverside	808393	Oliver	Lichtenberg	Rummelsburger Bucht	5.249.655.707.634.610	13.483.793.612.791.400	Entire home/apt	59	1	28	2018-11-02	0.35	2	16
169907	Cozy Berlin nest with great access	809715	Donna	Tempelhof - Schöneberg	Friedenau	5.246.981.277.766.220	13.330.368.455.954.300	Private room	30	1	13	2017-12-17	0.32	1	0
170582	Room for one Women - Living Community	813767	Lena	Charlottenburg-Wilm.	Wiesbadener Straße	5.246.746.817.520.610	13.313.736.664.841.300	Private room	23	5	15	2018-09-23	0.88	1	190
170652	2-room apartment. Mauerpark TOP!	814026	Frank	Mitte	Brunnenstr. Nord	5.254.529.865.450.740	13.397.289.357.596.000	Private room	40	5	5	2018-09-21	0.07	1	362
170974	Very Sunny, cozy Room with Balcony :)	815530	Onkel	Neukölln	Neuköllner Mitte/Zentrum	524.793.888.009.748	13.430.209.628.755.800	Private room	35	7	48	2018-10-06	0.63	1	89
171746	Lovely oasis in heart of Prenzlberg	819384	Eva-Marion	Pankow	Helmholtzplatz	52.544.105.902.553.300	1.341.409.916.284.280	Entire home/apt	70	4	84	2018-10-30	1.73	1	320
173153	Beautiful flat 95m² in Berlin Mitte	826546	Wolfgang	Pankow	Prenzlauer Berg Südwest	52.530.548.509.650.500	13.407.016.713.355.500	Entire home/apt	80	2	33	2017-10-30	0.38	1	0
174391	BERLIN The most central!	833209	Julija	Mitte	Alexanderplatz	5.252.885.628.704.040	13.396.841.414.864.600	Private room	42	1	1	2016-05-06	0.03	1	0
174547	Berlin City Apartment 1with WiFi	833995	Ilona	Mitte	Alexanderplatz	52.511.001.773.865.600	13.415.950.719.937.900	Entire home/apt	96	60	31	2016-10-02	0.37	4	0
174560	2 apartment in Berlin Center, WiFi	833995	Ilona	Mitte	Alexanderplatz	5.251.072.774.657.470	13.417.906.085.619.300	Entire home/apt	75	60	56	2016-10-01	0.71	4	280
174576	Berlin City Suite 3 mit W-Lan	833995	Ilona	Mitte	Alexanderplatz	5.250.939.926.752.590	13.416.228.803.622.100	Entire home/apt	96	60	41	2016-10-02	0.50	4	364
174579	Berlin City Studio 4 mit W-Lan	833995	Ilona	Mitte	Alexanderplatz	52.509.054.855.173.800	1.341.556.268.538.740	Entire home/apt	76	60	81	2016-09-23	0.98	4	0
175667	calm, sunny and central apartment 	839532	Christina	Tempelhof - Schöneberg	Schöneberg-Süd	5.249.137.801.093.190	13.343.314.916.960.800	Entire home/apt	46	60	8	2017-01-11	0.09	2	309
176342	Landmark/Checkpoint Charlie/120m2/2BATH/3BR/NEW	843326	Nino	Friedrichshain-Kreuzberg	Südliche Friedrichstadt	5.250.363.148.256.150	13.392.010.420.909.100	Entire home/apt	296	1	18	2018-10-28	0.31	3	331
176355	Landmark/Checkpoint Charlie/110m2/2BATH/2BR/new	843326	Nino	Friedrichshain-Kreuzberg	Südliche Friedrichstadt	52.501.475.919.528.800	1.339.110.689.609.040	Entire home/apt	244	1	17	2018-10-02	0.20	3	333
176396	Quiet room direct to metro station	843558	Christine	Reinickendorf	Ost 2	5.257.202.835.593.740	13.350.790.857.027.200	Private room	20	1	11	2018-10-24	0.48	1	0
176852	Big & sunny apartment in Kreuzberg	845790	Aaike	Friedrichshain-Kreuzberg	südliche Luisenstadt	5.249.300.268.275.330	13.440.889.696.658.700	Entire home/apt	50	3	1	2015-09-23	0.03	1	1
177486	Comfy bright studio flat, 1-3 Pers.	848965	Joscha	Charlottenburg-Wilm.	Volkspark Wilmersdorf	52.478.938.320.034	13.327.157.621.807.700	Entire home/apt	59	2	39	2018-10-11	0.49	1	96
178347	Design Apartment Berlin Neukölln	853446	Florian	Neukölln	Reuterstraße	52.488.654.169.282.700	13.428.955.718.077.100	Entire home/apt	75	2	71	2016-04-17	0.83	1	243
179102	registered, legal hughe penthouse for 1-2 families	857327	Alke	Pankow	Pankow Zentrum	525.686.812.824.015	13.399.690.953.780.900	Entire home/apt	170	2	118	2018-10-24	1.42	1	244
180440	CITY STUDIO WEST@ Kurfürstendamm(monthly discount)	864399	Roland & Sam	Charlottenburg-Wilm.	Neue Kantstraße	52.500.647.569.356.100	13.301.619.399.504.900	Entire home/apt	39	60	18	2018-09-24	0.23	1	202
181160	KINOMUSEUM	868282	Frank	Friedrichshain-Kreuzberg	Tempelhofer Vorstadt	5.249.172.695.564.680	13.421.000.419.836.600	Private room	39	2	385	2018-10-30	4.36	2	167
183206	Cosy Studio with balcony in Mitte	98237	Damian	Mitte	Alexanderplatz	5.252.735.491.907.910	1.338.985.627.131.660	Entire home/apt	64	1	389	2018-10-31	4.46	3	287
183918	furnitured red room with balcony	882529	Ariane	Pankow	Pankow Süd	52.557.625.006.870.800	13.412.937.659.067.900	Private room	35	15	15	2016-10-09	0.19	1	0
183988	Luxury Ku'damm Studio +  Bikes 4you	882801	Jennifer	Charlottenburg-Wilm.	Neue Kantstraße	5.250.102.762.775.470	13.302.697.494.915.200	Entire home/apt	100	2	350	2018-10-27	4.21	1	272
