id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365
18700192	Cozy and nice apartment  - near to everything! <3	3451054	Alexander	Mitte	Brunnenstr. Süd	525.361.479.690.828	13.380.034.080.718.600	Entire home/apt	60	5	41	2018-10-08	2.27	1	35
18700480	Large room near Görlitzer and Canal.	111994054	Albert	Friedrichshain-Kreuzberg	südliche Luisenstadt	52.493.828.856.494.500	13.433.194.520.073.000	Private room	90	1	5	2017-08-29	0.28	1	0
18701128	Stylish, Quiet, Renovated Room in Kreuzberg	2183455	Allyson	Friedrichshain-Kreuzberg	Tempelhofer Vorstadt	52.492.700.340.342.500	13.397.352.603.764.700	Private room	45	1	40	2018-09-27	2.26	1	9
18702309	Large bright double room in Berlin's heart	9229803	Francesco	Friedrichshain-Kreuzberg	Frankfurter Allee Süd FK	5.250.011.227.260.130	1.345.942.813.316.040	Private room	33	2	2	2018-07-07	0.15	1	0
18703481	Gemütliches Zimmer in Weddinger WG	130026195	Michael	Mitte	Osloer Straße	5.255.700.090.801.280	13.392.051.108.803.600	Private room	21	3	13	2018-06-07	0.76	1	0
18705609	Cozy 50qm flat in the heart of berlin	130043074	Louis-Philippe	Mitte	Brunnenstr. Nord	52.546.407.207.431.200	13.372.497.033.994.600	Entire home/apt	70	2	13	2018-10-30	0.74	1	349
18711284	Big Room for Rent in Berlin-Wedding	130096162	Luis	Mitte	Wedding Zentrum	5.255.177.942.296.380	13.359.364.458.590.200	Private room	20	2	1	2017-05-24	0.06	1	0
18711432	BERLIN MITTE	130096687	Achim	Mitte	Alexanderplatz	5.252.631.202.366.190	13.392.533.648.048.100	Private room	55	1	7	2018-10-20	0.41	1	89
18712663	Large bright room with balcony - Kreuzberg	67326451	Philipp	Friedrichshain-Kreuzberg	Tempelhofer Vorstadt	5.249.090.960.735.760	13.376.907.170.801.900	Private room	55	3	7	2018-05-20	0.40	1	0
18712935	Bright room with balcony in Neukolln	16716617	Tom	Neukölln	Schillerpromenade	5.247.585.765.727.990	13.421.036.037.504.800	Private room	40	2	15	2018-08-13	0.84	1	305
18714404	Cozy Flat in oriental style, Sonnenallee Neukölln	7722590	Katrin	Neukölln	Rixdorf	5.247.939.939.234.840	1.344.483.659.531.690	Entire home/apt	49	3	9	2018-06-11	0.50	1	0
18714605	Charming Apartment in the ❤ of Berlin	390380	Kristina	Pankow	Helmholtzplatz	5.254.462.877.122.480	1.342.149.840.415.500	Entire home/apt	82	7	3	2017-10-15	0.17	1	0
18714753	Cozy room in Kreuzberg	35017363	Farsad	Friedrichshain-Kreuzberg	nördliche Luisenstadt	5.250.038.719.324.130	1.344.151.080.170.740	Private room	27	2	72	2018-10-24	4.26	1	12
18715171	Cozy studio in the heart of Friedrichshain	9145104	Itai	Friedrichshain-Kreuzberg	Frankfurter Allee Süd FK	5.250.904.734.880.290	13.455.417.858.281.700	Entire home/apt	46	3	4	2017-08-17	0.22	1	0
18718895	Schönes Zimmer in Altbauwohnung	31003969	Sigrun	Tempelhof - Schöneberg	Schöneberg-Süd	5.248.107.898.904.010	13.358.627.142.950.700	Private room	48	2	3	2018-09-07	0.17	1	0
18719354	Lovely, sunny apartment in hip Neukölln! :)	2178724	Victoria	Neukölln	Reuterstraße	524.837.696.675.241	13.441.701.045.237.400	Entire home/apt	50	7	1	2017-05-14	0.06	1	128
18720477	65 qm im zentralen Wedding	130176802	Elsa	Mitte	Osloer Straße	52.554.574.237.083.100	13.391.159.698.945.400	Entire home/apt	34	5	1	2017-06-14	0.06	1	0
18720739	Comfy-Room in Schöneberg	54680167	Daniel	Tempelhof - Schöneberg	Schöneberg-Süd	52.481.994.219.688.100	13.359.783.259.414.700	Private room	40	1	46	2018-10-24	2.61	1	151
18724217	Die Wohnung der Frida Karlo	130216301	Anke	Pankow	Prenzlauer Berg Nordwest	525.493.539.557.376	13.403.471.711.084.600	Entire home/apt	79	3	11	2018-10-01	0.65	1	41
18725274	huge modern room for 2	21249621	Thommy	Lichtenberg	Alt-Lichtenberg	525.123.687.783.176	13.497.765.837.997.100	Private room	50	1	16	2018-10-13	0.88	1	356
18727140	Große Familienwohnung im Herzen Berlins	108738142	Hannah	Lichtenberg	Neu Lichtenberg	52.505.045.010.868.100	13.476.247.413.697.300	Entire home/apt	90	8	1	2018-10-11	1	1	302
18727548	Big bedroom in a 75 sqrm shared pretty apartment.	94302069	Dan	Mitte	Parkviertel	5.254.455.538.843.090	13.347.731.016.183.600	Private room	25	3	32	2018-03-30	1.79	1	5
18727771	light room in shared flat in the heart o Kreuzberg	48788385	Kaspar	Friedrichshain-Kreuzberg	nördliche Luisenstadt	5.250.046.087.538.270	13.427.740.524.486.800	Private room	19	4	1	2017-06-01	0.06	1	0
18729218	Cozy and bright flat in Wedding, 60m²	6954651	Markus	Mitte	Wedding Zentrum	5.255.139.473.805.020	13.355.571.998.531.100	Entire home/apt	60	10	5	2018-06-20	0.60	1	14
18730338	Stylish & cozy apartment in Mitte	3176426	Alvise	Mitte	Brunnenstr. Süd	52.534.320.901.167.800	13.381.505.710.233.400	Entire home/apt	70	2	19	2018-07-30	01.08	1	120
18731192	Urban jungle in central Neukölln	130269798	Hannah	Neukölln	Neuköllner Mitte/Zentrum	5.247.067.830.099.970	13.439.576.401.241.400	Private room	55	2	11	2018-10-29	0.63	1	17
18731634	Studio in Kreuzberg: 40 square meters	9702671	Jens	Friedrichshain-Kreuzberg	Tempelhofer Vorstadt	52.491.997.638.983.500	13.378.744.255.296.800	Entire home/apt	58	3	7	2017-10-03	0.40	1	0
18733372	bright and large room close to city centre	86510107	Leonard	Mitte	Parkviertel	5.255.159.670.447.990	13.351.768.261.688.600	Private room	30	2	4	2018-08-27	0.44	1	0
18733626	Beautiful Family Apartment in a quiet neighborhood	99405318	Mario	Lichtenberg	Karlshorst	524.814.506.058.986	13.513.471.028.689.600	Entire home/apt	99	2	10	2018-11-06	0.65	1	4
18733837	Big room with balcony and view on the Rathaus	73124275	Janberk	Tempelhof - Schöneberg	Schöneberg-Süd	5.248.392.891.741.550	13.346.337.993.208.200	Private room	39	1	17	2018-10-28	2.95	1	44
18735628	Großes ruhiges Zimmer nahe Leopoldplatz	15381898	Nathanael	Mitte	Wedding Zentrum	52.547.156.362.944.400	13.362.708.941.229.200	Private room	25	5	12	2018-10-15	0.69	1	7
18741413	Sunny and spacious flat in Neukölln with balcony	91874684	Elli	Neukölln	Rixdorf	5.247.926.177.314.090	1.344.787.410.909.910	Entire home/apt	110	3	6	2017-08-20	0.34	2	0
18745186	Suitable for Young people-In the Heart of Neukölln	27850713	Mai	Neukölln	Schillerpromenade	5.247.989.553.440.490	13.425.346.620.270.900	Private room	42	5	18	2018-08-12	01.01	1	12
18745287	Beautiful 85 sqm apartment in best Berlin	130402631	Raffaela	Tempelhof - Schöneberg	Schöneberg-Süd	5.248.816.372.363.140	13.358.614.136.473.600	Entire home/apt	47	3	25	2018-10-22	1.61	2	348
18745424	Nice room in the heart of Berlin	33333471	Nesrin	Reinickendorf	Ost 2	5.257.081.561.670.210	13.359.960.888.663.400	Private room	58	2	11	2018-09-21	0.64	1	179
18745706	Stunning light filled apartment in Kreuzberg/Mitte	21767481	Matilde	Mitte	Alexanderplatz	5.250.626.883.601.010	13.415.423.176.066.000	Entire home/apt	98	3	10	2018-07-05	0.60	1	0
18745856	Gemütliche Einzimmerwohnung (30)/Spandau	79430806	Katya	Spandau	Wilhelmstadt	525.366.947.883.463	13.183.072.904.888.000	Entire home/apt	30	30	3	2017-12-06	0.18	19	269
18745916	Bright and cozy room with good accessibility!	130406788	Sumita	Mitte	Osloer Straße	52.564.567.275.426.400	13.391.958.556.248.000	Private room	25	1	54	2018-10-23	03.06	1	111
18746261	Nice room (+balcony) @ center of P-Berg	21511310	Marti	Pankow	Prenzlauer Berg Nordwest	525.453.936.300.906	13.412.190.708.513.800	Private room	25	3	2	2017-06-11	0.12	1	0
18746616	Zentrale Neuköllner Altbauwohnung	21639767	Lucia	Neukölln	Reuterstraße	5.248.192.895.005.830	13.433.596.782.081.000	Private room	25	2	9	2018-08-30	0.50	1	7
18748141	Beautiful home in Mitte	6130801	Marcus	Mitte	Brunnenstr. Süd	52.528.258.715.623.300	13.387.673.419.961.400	Entire home/apt	60	7	67	2018-09-20	3.78	1	33
18748209	Very cosy and well located room in Tiergarten	125681808	Ayrton	Mitte	Moabit Ost	52.517.758.577.557.800	13.337.098.423.847.000	Private room	20	1	1	2017-05-21	0.06	1	0
18748741	Warm and Sunny Wedding Apartment	33446284	Justin	Mitte	Osloer Straße	52.557.349.305.068.800	13.388.353.675.482.900	Entire home/apt	75	4	28	2018-10-21	1.59	1	127
18750476	Spacious room w/private balcony in Mitte-Kreuzberg	6109133	Fabian	Friedrichshain-Kreuzberg	Südliche Friedrichstadt	525.024.903.646.211	13.391.193.123.998.000	Private room	65	3	23	2018-10-04	1.30	1	17
18750683	Cosy apartment right near Alexanderplatz	21963392	Davide	Mitte	Alexanderplatz	5.251.603.236.074.130	13.418.245.160.590.300	Entire home/apt	49	10	1	2017-06-30	0.06	1	0
18750725	Cosy & quiet room in great location	129569391	Lara	Pankow	Helmholtzplatz	52.547.767.536.327.700	13.416.201.805.420.400	Private room	40	1	6	2018-10-30	6	1	143
18751750	Floodlit apartment Hohenschönhausen/PrenzlauerBerg	62257531	Patrycja	Pankow	Weißensee Ost	52.563.857.811.834.100	13.479.977.654.841.700	Private room	20	1	9	2017-06-23	0.50	1	0
18752047	Familyfriendly  140 m² flat with garden + terrasse	130459057	Natalja	Tempelhof - Schöneberg	Mariendorf	52.431.990.289.267.800	13.382.591.438.506.100	Entire home/apt	120	3	7	2018-05-21	0.40	1	0
18754513	Cosy apartment in trendy Friedrichshain	103359088	Mira	Friedrichshain-Kreuzberg	Frankfurter Allee Nord	52.521.357.966.626.400	13.454.098.312.794.100	Entire home/apt	42	50	1	2017-12-24	0.09	1	257
18761424	Cozy room with own balcony in Mitte	129850465	Evgeniya	Mitte	Wedding Zentrum	5.255.614.260.630.600	13.382.376.852.064.800	Private room	28	3	7	2018-07-08	0.40	1	5
18762211	Berlin Charlottenburg at its very best !	22339816	Volker	Charlottenburg-Wilm.	Kantstraße	52.508.665.161.513.200	13.322.862.998.263.500	Entire home/apt	115	6	11	2018-10-30	0.88	2	177
18762440	Comfortable modern berlin apartment	130542426	Luce	Neukölln	Reuterstraße	52.487.187.603.083.200	13.426.333.333.129.200	Entire home/apt	50	3	1	2017-10-29	0.08	1	0
18763677	Sunny Guest Room in City Center	42614185	Deniz	Mitte	Osloer Straße	5.255.477.677.478.760	13.390.079.840.689.400	Private room	55	2	22	2018-11-04	1.30	2	33
18764169	Wunderschönes Loft in Kreuzberg	10994297	Marlies	Friedrichshain-Kreuzberg	Tempelhofer Vorstadt	5.249.488.384.090.970	1.340.235.680.618.510	Entire home/apt	100	2	18	2018-09-10	01.02	1	169
18764398	Cosy big Room with balcony close to Ostkreutz.	40584731	Lutz	Lichtenberg	Friedrichsfelde Nord	5.251.186.067.336.950	1.350.765.110.222.490	Private room	25	1	3	2017-06-20	0.17	1	0
18765843	Schönes Zimmer mit Balkon in Prenzlauer Berg	88648824	Sophie	Pankow	Prenzlauer Berg Nordwest	5.255.355.873.857.440	13.399.584.554.968.500	Private room	25	7	2	2017-07-06	0.12	1	0
18766131	Cosy and bright room in Berlin-Neukölln	130415860	Nilay	Neukölln	Britz	52.461.114.893.294.400	1.344.103.715.956.270	Private room	40	7	7	2018-07-18	0.39	1	0
18766911	Schön, gemütlich, sauber	130580934	Roghieh	Tempelhof - Schöneberg	Schöneberg-Nord	5.249.778.536.484.210	13.340.155.505.696.800	Entire home/apt	81	2	3	2017-06-04	0.17	1	310
18767372	New and modern Apartment in the perfect Location.	13118150	Lukas	Mitte	Moabit West	52.527.410.108.578.000	13.325.452.911.957.000	Entire home/apt	39	13	1	2017-06-21	0.06	1	0
18768640	Spacious apartement in Friedrichshain	13927650	Malte	Friedrichshain-Kreuzberg	Frankfurter Allee Süd FK	5.251.223.771.063.010	13.456.061.037.612.200	Entire home/apt	110	5	3	2017-09-14	0.18	1	0
18768947	Room in bohemian flat | Kreuzberg	130602244	Filip	Friedrichshain-Kreuzberg	nördliche Luisenstadt	5.249.779.188.541.010	13.419.854.995.295.800	Private room	28	1	99	2018-10-19	5.58	1	42
18769233	Charming private room near Kudamm/Messe	39998297	James	Charlottenburg-Wilm.	Halensee	5.249.755.834.913.990	13.293.956.832.700.000	Private room	80	1	5	2017-09-06	0.29	2	21
18769541	Cozy room in collective in Neukölln	130606116	Sandra	Neukölln	Rixdorf	5.247.850.280.384.730	13.450.796.180.554.600	Private room	15	3	1	2017-05-28	0.06	1	0
18769687	Beautiful pre-war apartment in lively Wedding	75144366	Susann	Mitte	Brunnenstr. Nord	52.551.430.477.402.400	1.338.237.568.879.770	Entire home/apt	69	2	17	2018-08-26	0.96	1	0
18771195	Charming & comfortable room with balcony in NK	130588930	Micha & Karen	Neukölln	Reuterstraße	52.484.395.823.632.700	13.428.484.639.590.500	Private room	39	3	19	2018-10-22	01.08	1	0
18772790	Großes Zimmer in Zweier-WG	31127588	Ella	Lichtenberg	Neu Lichtenberg	5.250.579.498.934.570	13.494.948.710.329.000	Private room	25	2	8	2018-07-30	0.45	2	37
18773184	Mitte-Wedding big 3 Room Apt, U8!	2217	Ian	Mitte	Wedding Zentrum	52.552.405.104.454.000	13.375.940.813.089.100	Entire home/apt	83	4	36	2018-10-23	02.07	4	166
18782657	Cozy & quiet bedroom in Treptow/Neukölln	97055621	Cornelia	Treptow - Köpenick	Alt  Treptow	5.249.085.926.437.690	13.446.037.334.628.700	Private room	28	3	4	2017-09-11	0.22	1	0
18783039	Premium-Appartment direkt am Wasser - Luxus pur	127162318	Thomas	Treptow - Köpenick	Dammvorstadt	52.451.582.302.579.500	13.570.455.737.430.600	Entire home/apt	99	60	1	2018-06-30	0.23	1	341
18783052	Bright friendly room in the City West	130723111	Jan	Charlottenburg-Wilm.	Düsseldorfer Straße	52.500.809.302.832.600	13.332.321.772.952.300	Private room	63	2	105	2018-10-28	5.91	1	57
18783449	Peaceful flat near Mauerpark	5275593	Xinyue	Pankow	Prenzlauer Berg Nordwest	52.545.527.606.227.800	1.340.889.629.410.800	Entire home/apt	70	2	12	2018-04-22	0.68	1	0
18785919	@Home in Neukölln	130745473	Marie-Lena	Neukölln	Rixdorf	5.247.918.206.519.980	13.448.564.413.821.700	Entire home/apt	36	4	13	2018-10-26	0.78	1	107
18788249	Cozy apartment in lively Neukölln!	9257826	Adi	Neukölln	Rixdorf	52.476.845.791.391.300	13.439.787.656.750.400	Entire home/apt	33	3	2	2017-06-07	0.11	1	0
18788291	Apartment in the heart of Mitte/Prenzlauer Berg	130765483	Louisa Und Marie	Mitte	Brunnenstr. Süd	525.342.876.941.493	13.406.379.071.325.500	Entire home/apt	80	3	19	2018-08-26	01.07	1	14
18789310	Gemütliches Zimmer in Zweier-WG	31127588	Ella	Lichtenberg	Neu Lichtenberg	525.056.613.742.165	1.349.381.395.511.900	Private room	23	2	15	2018-10-01	0.85	2	37
18790213	Schöne Altbauwohnung am Mauerpark	59305719	Max	Pankow	Prenzlauer Berg Nordwest	5.254.812.311.471.620	13.404.316.342.155.400	Entire home/apt	160	2	2	2017-06-18	0.11	1	0
18790784	Room near Kreuzberg & Neukölln	130207049	Sarah	Treptow - Köpenick	Alt  Treptow	5.248.937.715.866.180	13.451.557.297.987.700	Private room	20	5	1	2017-10-05	0.08	1	0
18791056	Sunny, cozy nest in Kreuzberg, Berlin	130788462	Marion	Friedrichshain-Kreuzberg	südliche Luisenstadt	525.004.728.557.031	13.443.758.294.263.300	Entire home/apt	36	6	4	2017-07-20	0.23	1	0
18793171	1 Zimmer am Friedrichshain	130807184	Enrico	Pankow	Prenzlauer Berg Süd	5.253.116.751.566.130	13.429.550.952.548.500	Private room	38	7	1	2017-08-27	0.07	1	0
18797070	Individual Rooftop Apartment in Berlin-Wedding	12315962	Bastian	Mitte	Wedding Zentrum	5.254.290.455.973.320	13.362.937.374.654.600	Entire home/apt	100	2	1	2017-05-28	0.06	1	0
18798370	Cozy Room in flat share next to Alexanderplatz	39140886	Eric	Mitte	Alexanderplatz	5.252.499.631.357.340	13.416.720.239.677.900	Private room	32	3	11	2018-10-07	0.74	2	0
18798641	primeflats - Apartment am Schillerpark 4	1625771	Ben	Mitte	Parkviertel	52.554.813.743.510.100	13.349.613.816.884.800	Entire home/apt	42	1	18	2018-10-15	1.10	45	175
18800457	Calm room with morning sun in Neukölln	130874183	Anna	Neukölln	Britz	52.451.459.599.860.000	1.344.014.598.072.050	Private room	17	5	1	2017-05-31	0.06	1	0
18801726	Lovely room near Kudam	74750949	Chams	Charlottenburg-Wilm.	Volkspark Wilmersdorf	5.248.640.946.131.210	13.334.890.243.611.800	Private room	29	7	3	2018-08-24	0.18	1	0
18802212	Beautiful Sunny Apartment in Friedrichshain	35362254	Oliver	Friedrichshain-Kreuzberg	Frankfurter Allee Süd FK	52.506.610.883.601.600	13.468.192.346.732.500	Entire home/apt	56	4	4	2018-01-04	0.23	1	0
18802503	Cool room, great location in Friedrichshain	130889680	David	Friedrichshain-Kreuzberg	Karl-Marx-Allee-Süd	52.514.460.077.900.300	13.440.000.349.808.700	Private room	39	2	2	2017-05-30	0.11	1	0
18804043	Double room 200m Tempelhof park	130902643	Baldassarre	Neukölln	Schillerpromenade	52.474.931.005.093.800	13.424.915.712.697.200	Private room	30	2	2	2017-05-30	0.11	1	0
18806873	stilvolles Ambiente mit Aussenterrasse	25818415	Patrick	Tempelhof - Schöneberg	Schöneberg-Süd	52.485.801.552.434.000	13.362.278.833.780.000	Entire home/apt	130	2	64	2018-11-04	3.63	1	50
18806933	New apartment with balcony in central Berlin	30685137	Minnie	Mitte	Alexanderplatz	52.509.066.928.866.200	1.340.647.091.483.710	Entire home/apt	129	2	25	2018-10-22	1.41	1	8
18807089	Single-room apartment in Berlin Neukölln	130927760	Karmen	Neukölln	Reuterstraße	5.248.185.667.579.180	13.437.056.237.449.900	Entire home/apt	40	4	6	2018-05-31	0.34	1	0
18807537	Toll geschnittene Wohnung im Herzen Kreuzköllns	112098247	Carlotta	Neukölln	Reuterstraße	5.249.102.416.387.340	13.432.845.605.533.000	Entire home/apt	45	1	2	2018-06-08	0.12	1	0
18807789	Gemütliche 1-Zimmer-Wohnung // 1-Room-Apartment	3042758	Rudi	Friedrichshain-Kreuzberg	Frankfurter Allee Nord	5.251.857.339.896.070	13.467.431.514.891.400	Entire home/apt	39	4	4	2017-12-06	0.23	1	0
18809444	Huge,bright and beautiful - Graefekiez (Kreuzberg)	130950343	Paul	Friedrichshain-Kreuzberg	Tempelhofer Vorstadt	5.249.336.025.659.600	13.417.825.256.719	Entire home/apt	100	2	31	2018-09-10	1.75	1	12
18815722	Zentrales Apartment Berlin	92236508	Lulu	Friedrichshain-Kreuzberg	nördliche Luisenstadt	52.503.079.783.156.400	13.431.882.575.497.500	Entire home/apt	47	4	13	2017-11-27	0.74	1	0
18816454	Welcome to Danciger Street	130746463	Theresa	Pankow	Prenzlauer Berg Süd	5.253.165.420.202.640	13.441.330.904.116.400	Private room	30	4	2	2017-08-21	0.13	1	0
18817072	Oase im Bözow-Viertel	131016430	Jojo	Pankow	Prenzlauer Berg Süd	5.253.244.233.628.580	13.434.082.493.114.200	Private room	24	14	6	2018-09-14	0.34	2	23
18818384	Direkt am Wald und Spreenaehe und doch Citynah.	131022052	Stephan	Treptow - Köpenick	Plänterwald	5.247.627.257.139.710	13.484.407.788.411.000	Entire home/apt	23	5	5	2018-02-10	0.31	1	0
